sentiment,magnitude,affects_more_than_x,lasts_more_than_y,impacts_cia,is_confirmed,is_incident
-0.3,4.3,0.5,0.5,1.0,0,0
-0.4,0.8,1.0,1.0,1.0,1.0,1.0
-0.1,0.1,1.0,1.0,0,1.0,0
-0.3,1.0,1.0,0,0,1.0,1.0
-0.8,0.8,0,0,1.0,1.0,0
-0.3,1.0,1.0,1.0,1.0,1.0,1.0
-0.6,1.3,1.0,1.0,1.0,1.0,1.0
0.2,0.2,0,0,0,1.0,0
-0.4,3.7,1.0,1.0,1.0,1.0,1.0
-0.4,0.4,0,0.5,0,1.0,0
0,0,1.0,1.0,0.5,1.0,0
0,0,1.0,1.0,0,1.0,0
-0.3,3.2,1.0,0.5,1.0,1.0,1.0
-0.8,1.6,1.0,0.5,1.0,1.0,1.0
0.4,1.5,0,0,0,1.0,0
-0.5,2.1,1.0,1.0,1.0,1.0,1.0
-0.5,1.7,0.5,0,0,1.0,1.0
0,0,1.0,0,0,1.0,0
-0.4,5.1,1.0,1.0,1.0,1.0,1.0
-0.2,2.2,1.0,1.0,1.0,1.0,1.0
-0.4,2.8,1.0,1.0,1.0,1.0,1.0
-0.3,0.8,0,0,1.0,1.0,0
